"Data, x","Data, y","Trace 1, x","Trace 1, y","Fit, x","Fit, y"
"1977","0.18","1986.86075949367","0.220779916576737","",""
"1978","0.07","1985.16455696203","0.19585808755434","",""
"1979","0.17","1983.46835443038","0.171812981237143","",""
"1980","0.28","1981.77215189873","0.148664025617403","",""
"1981","0.33","1980.07594936709","0.12646950795339","",""
"1982","0.13","1978.37974683544","0.105435083737384","",""
"1983","0.31","1976.6835443038","0.085514311649085","",""
"1984","0.16","1974.98734177215","0.0666148985076232","",""
"1985","0.12","1973.29113924051","0.0486568386838782","",""
"1986","0.19","1971.59493670886","0.0315906701513032","",""
"1987","0.34","1969.89873417722","0.0154075816389681","",""
"1988","0.4","1968.20253164557","0.000140488413698202","",""
"1989","0.29","1966.50632911392","-0.0141431210225721","",""
"1990","0.44","1964.81012658228","-0.0273542054969441","",""
"1991","0.42","1963.11392405063","-0.0389699099397858","",""
"1992","0.23","1961.41772151899","-0.046946670397548","",""
"1993","0.24","1959.72151898734","-0.0518503886526538","",""
"1994","0.32","1958.0253164557","-0.0546481597133144","",""
"1995","0.46","1956.32911392405","-0.0562677246723023","",""
"1996","0.35","1954.63291139241","-0.0575545658331564","",""
"1997","0.48","1952.93670886076","-0.0592436760244576","",""
"1998","0.63","1951.24050632911","-0.061959911364752","",""
"1999","0.42","1949.54430379747","-0.0662467329904268","",""
"2000","0.42","1947.84810126582","-0.0726092535007686","",""
"2001","0.55","1946.15189873418","-0.0812464702640774","",""
"2002","0.63","1944.45569620253","-0.0906350736711505","",""
"2003","0.62","1942.75949367089","-0.100531290242998","",""
"2004","0.55","1941.06329113924","-0.110985599891177","",""
"2005","0.69","1939.36708860759","-0.122010133990148","",""
"2006","0.64","1937.67088607595","-0.133535628932213","",""
"2007","0.66","1935.9746835443","-0.145382684399635","",""
"2008","0.54","1934.27848101266","-0.157261410599727","",""
"2009","0.65","1932.58227848101","-0.168799658950558","",""
"2010","0.71","1930.88607594937","-0.17958592695477","",""
"2011","0.6","1929.18987341772","-0.189449721619567","",""
"2012","0.63","1927.49367088608","-0.199628662170641","",""
"2013","0.66","1925.79746835443","-0.210199232485807","",""
"2014","0.75","1924.10126582278","-0.220957117056832","",""
"","","1922.40506329114","-0.231676447704534","",""
"","","1920.70886075949","-0.242096783014605","",""
"","","1919.01265822785","-0.251915955034995","",""
"","","1917.3164556962","-0.260791145058025","",""
"","","1915.62025316456","-0.268348990773456","",""
"","","1913.92405063291","-0.274203842319288","",""
"","","1912.22784810127","-0.278194377670784","",""
"","","1910.53164556962","-0.281600106043605","",""
"","","1908.83544303797","-0.284653747392727","",""
"","","1907.13924050633","-0.287304601127006","",""
"","","1905.44303797468","-0.289508018858779","",""
"","","1903.74683544304","-0.291225504106056","",""
"","","1902.05063291139","-0.292424241795509","",""
"","","1900.35443037975","-0.293075776542751","",""
"","","1898.6582278481","-0.293153711673115","",""
"","","1896.96202531646","-0.292630618077406","",""
"","","1895.26582278481","-0.291488774301375","",""
"","","1893.56962025316","-0.289839919067175","",""
"","","1891.87341772152","-0.287763480381006","",""
"","","1890.17721518987","-0.285303752067698","",""
"","","1888.48101265823","-0.282490661259374","",""
"","","1886.78481012658","-0.279344001749242","",""
"","","1885.08860759494","-0.275877587999898","",""
"","","1883.39240506329","-0.272102565075918","",""
"","","1881.69620253165","-0.268029670836879","",""
"","","1880","-0.263670582543899","",""
"","","1880","-0.127780357499175","",""
